Date,REER,NEER,Oman_CPI,Foreign_CPI
Feb-22,146.4,124.2,103.5,122.0
Mar-22,148.7,125.1,103.7,123.2
Apr-22,151.6,126.9,104.1,124.4
May-22,152.2,126.7,104.0,125.0
Jun-22,155.3,128.6,104.2,125.8
Jul-22,157.1,129.8,104.6,126.6
Aug-22,158.9,130.5,104.2,126.8
Sep-22,162.4,133.0,104.1,127.1
Oct-22,164.0,135.0,105.2,127.8
Nov-22,162.5,133.3,105.1,128.2
Dec-22,162.6,132.9,104.9,128.4
Jan-23,163.4,133.9,105.7,128.9
Feb-23,167.7,136.0,105.3,129.9
Mar-23,168.0,135.4,105.2,130.5
Apr-23,169.0,135.4,105.0,131.1
May-23,171.7,136.8,104.8,131.5
Jun-23,171.8,136.7,105.1,132.0
Jul-23,172.9,136.0,104.7,133.1
Aug-23,175.3,137.8,105.0,133.6
Sep-23,175.5,138.5,105.7,133.9
Oct-23,176.1,138.4,105.6,134.3
Nov-23,174.3,137.1,105.8,134.5
Dec-23,174.1,136.4,105.6,134.8
Jan-24,175.6,137.3,105.6,135.1
Feb-24,178.6,137.6,105.3,136.6
Mar-24,186.8,143.9,105.4,136.8
Apr-24,188.7,145.0,105.5,137.3
May-24,187.7,144.5,105.8,137.4
Jun-24,189.6,145.6,105.9,137.9
Jul-24,185.4,142.3,106.3,138.5
Aug-24,184.7,141.0,106.1,139.0
Sep-24,183.7,139.9,106.1,139.3
Oct-24,186.9,142.2,106.4,139.8
Nov-24,189.0,143.7,106.3,139.8
Dec-24,186.1,145.4,106.3,136.1
